Date;Time;PizzaType;Quantity;Size;PriceEUR;Waiter;Table;InvoiceNumber
2025-10-01;19:07;Pizza Hawaii;1;Large;11,25;Luca;3;51825
2025-10-01;18:18;Pizza Margherita;3;Small;24,0;Jonas;2;51826
2025-10-01;14:52;Pizza Funghi;3;Medium;27,0;Luca;4;51827
2025-10-01;12:23;Pizza Diavola;2;Large;25,0;Jonas;4;51828
2025-10-01;14:59;Pizza Margherita;1;Large;10,0;Maria;4;51829
2025-10-01;18:21;Pizza Salami;1;Large;11,25;Luca;3;51830
2025-10-01;11:26;Pizza Margherita;3;Medium;24,0;Luca;4;51831
2025-10-01;14:27;Pizza Prosciutto;3;Small;27,0;Luca;6;51832
2025-10-01;13:50;Pizza Prosciutto;3;Large;33,75;Luca;12;51833
2025-10-01;17:02;Pizza Salami;1;Large;11,25;Maria;2;51834
2025-10-01;21:08;Pizza Funghi;3;Medium;27,0;Sophie;10;51835
2025-10-01;11:59;Pizza Diavola;2;Large;25,0;Jonas;4;51836
2025-10-01;17:25;Pizza Prosciutto;1;Small;9,0;Eva;7;51837
2025-10-01;14:46;Pizza Prosciutto;3;Medium;27,0;Maria;3;51838
2025-10-01;19:13;Pizza Prosciutto;1;Medium;9,0;Maria;12;51839
2025-10-01;14:03;Pizza Margherita;2;Large;20,0;Jonas;3;51840
2025-10-01;12:41;Pizza Funghi;2;Large;22,5;Maria;7;51841
2025-10-01;12:25;Pizza Prosciutto;2;Large;22,5;Luca;11;51842
2025-10-01;14:13;Pizza Prosciutto;3;Small;27,0;Luca;6;51843
2025-10-01;22:22;Pizza Salami;1;Medium;9,0;Jonas;12;51844
2025-10-01;21:15;Pizza Prosciutto;1;Small;9,0;Maria;11;51845
2025-10-02;18:24;Pizza Salami;1;Small;9,0;Luca;12;51846
2025-10-02;13:44;Pizza Funghi;1;Large;11,25;Jonas;7;51847
2025-10-02;11:23;Pizza Funghi;1;Medium;9,0;Luca;9;51848
2025-10-02;14:10;Pizza Salami;3;Small;27,0;Eva;3;51849
2025-10-02;19:34;Pizza Margherita;1;Small;8,0;Mark;10;51850
2025-10-02;18:38;Pizza Hawaii;2;Medium;18,0;Maria;9;51851
2025-10-02;13:08;Pizza Prosciutto;2;Large;22,5;Eva;11;51852
2025-10-02;13:22;Pizza Margherita;2;Small;16,0;Jonas;5;51853
2025-10-02;13:43;Pizza Margherita;2;Medium;16,0;Maria;3;51854
2025-10-02;17:34;Pizza Salami;1;Small;9,0;Sophie;9;51855
2025-10-02;19:00;Pizza Diavola;1;Large;12,5;Sophie;11;51856
2025-10-02;22:38;Pizza Funghi;3;Large;33,75;Maria;3;51857
2025-10-02;18:41;Pizza Funghi;1;Large;11,25;Sophie;8;51858
2025-10-02;14:38;Pizza Hawaii;1;Small;9,0;Sophie;4;51859
2025-10-02;14:03;Pizza Hawaii;2;Small;18,0;Eva;2;51860
2025-10-02;13:44;Pizza Margherita;3;Medium;24,0;Leon;3;51861
2025-10-03;11:31;Pizza Margherita;3;Medium;24,0;Leon;5;51862
2025-10-03;12:27;Pizza Funghi;2;Large;22,5;Luca;9;51863
2025-10-03;22:56;Pizza Margherita;1;Large;10,0;Maria;7;51864
2025-10-03;20:43;Pizza Margherita;2;Large;20,0;Jonas;8;51865
2025-10-03;18:54;Pizza Hawaii;1;Small;9,0;Maria;1;51866
2025-10-03;11:00;Pizza Funghi;1;Large;11,25;Luca;1;51867
2025-10-03;17:51;Pizza Hawaii;1;Large;11,25;Luca;2;51868
2025-10-03;22:07;Pizza Hawaii;3;Medium;27,0;Luca;5;51869
2025-10-03;11:32;Pizza Margherita;3;Medium;24,0;Luca;12;51870
2025-10-03;14:14;Pizza Funghi;3;Large;33,75;Maria;7;51871
2025-10-03;14:23;Pizza Diavola;1;Small;10,0;Maria;6;51872
2025-10-03;12:48;Pizza Salami;2;Medium;18,0;Jonas;1;51873
2025-10-03;22:38;Pizza Margherita;2;Large;20,0;Eva;1;51874
2025-10-03;21:48;Pizza Salami;1;Large;11,25;Luca;4;51875
2025-10-03;12:01;Pizza Diavola;2;Small;20,0;Luca;7;51876
2025-10-03;14:32;Pizza Diavola;1;Medium;10,0;Luca;8;51877
2025-10-03;12:52;Pizza Funghi;2;Small;18,0;Jonas;1;51878
2025-10-03;20:54;Pizza Hawaii;3;Small;27,0;Maria;8;51879
2025-10-03;11:37;Pizza Diavola;1;Medium;10,0;Leon;7;51880
2025-10-03;22:21;Pizza Hawaii;3;Medium;27,0;Maria;5;51881
2025-10-03;17:08;Pizza Salami;3;Large;33,75;Mark;3;51882
2025-10-03;11:02;Pizza Diavola;3;Medium;30,0;Luca;10;51883
2025-10-03;12:02;Pizza Margherita;3;Large;30,0;Maria;1;51884
2025-10-03;14:06;Pizza Hawaii;1;Large;11,25;Jonas;3;51885
2025-10-03;18:39;Pizza Hawaii;1;Large;11,25;Luca;2;51886
2025-10-04;11:49;Pizza Funghi;3;Small;27,0;Luca;7;51887
2025-10-04;18:34;Pizza Hawaii;3;Large;33,75;Jonas;1;51888
2025-10-04;18:47;Pizza Funghi;1;Small;9,0;Jonas;10;51889
2025-10-04;17:01;Pizza Funghi;1;Medium;9,0;Leon;11;51890
2025-10-04;14:04;Pizza Margherita;1;Medium;8,0;Maria;3;51891
2025-10-04;17:40;Pizza Margherita;3;Large;30,0;Maria;2;51892
